X,Y,OBJECTID,DIRECCION_INCIDENTE,TIPO_DE_INCIDENTE,TIPO_DE_ACTORES_VIALES_IMPLICAD,AFECTACIÓN_PERSONAS,FECHA_INCIDENTE__DD_MM_AAAA_,LATITUD,LONGITUD
-74.0878288,4.6947594001542,43,"Av Calle 80 con Carrera 119B, sentido or→occ",Varado,Tractocamión (1),Sin lesionados,2025/05/01 00:00:00+00,4.6947594,-74.0878288
-74.1378563,4.59429950015091,44,Carrera 53 con Calle 45 sur,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.5942995,-74.1378563
-74.1618746,4.60232070015119,45,Av Ciudad de Villavicencio con Autopista Sur,"Sustancia química en vía (aceite, ACPM, otros)",Aceite (1),Sin lesionados,2025/05/01 00:00:00+00,4.6023207,-74.1618746
-74.1001764,4.68035670015373,46,"Av Boyacá con Carrera 6, sentido n→s",Atropello,Motociclista lesionado (1) - Animal de compañía (1),Con lesionados,2025/05/01 00:00:00+00,4.6803567,-74.1001764
-74.1618746,4.60232070015119,47,"Av Ciudad de Villavicencio con Autopista Sur, sentido n→s",Autolesionado,Motociclista lesionado (2),Con lesionados,2025/05/01 00:00:00+00,4.6023207,-74.1618746
-74.0903876,4.63433500015219,48,"Av Boyacá con Av El Dorado (Calle 26), sentido s→n",Varado,Bus SITP (1),Sin lesionados,2025/05/01 00:00:00+00,4.634335,-74.0903876
-74.1548610999999,4.53871670014912,49,Diagonal 77 sur con Carrera 24B,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.5387167,-74.1548611
-74.1001764,4.68035670015373,50,"Av Boyacá con Carrera 3C, sentido occ→or",Choque con lesionado,Taxi (1) - Motociclista lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.6803567,-74.1001764
-74.1747731,4.63624320015226,51,"Av Guayacanes con Av Ciudad de Villavicencio, sentido s→n",Choque simple,Automóvil particular (2),Sin lesionados,2025/05/01 00:00:00+00,4.6362432,-74.1747731
-74.0943192,4.61660330015167,52,Calle 13 con Carrera 33,Choque con lesionado,Automóvil particular (3) - Conductor lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.6166033,-74.0943192
-74.0647858999999,4.74715080015588,53,Av Boyacá con Calle 163,Choque simple,Tractocamión (1) - Automóvil particular (1),Sin lesionados,2025/05/01 00:00:00+00,4.7471508,-74.0647859
-74.1507658,4.61405130015155,54,Carrera 73 con Calle 40 sur,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.6140513,-74.1507658
-74.1536131999999,4.57883520015044,55,Carrera 48G con Calle 59A sur,Choque simple,Taxi (1) - Automóvil particular (1),Sin lesionados,2025/05/01 00:00:00+00,4.5788352,-74.1536132
-74.1587051,4.6518031001528,56,Calle 6D con Carrera 92,Choque con lesionado,Taxi (1) - Ciclista lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.6518031,-74.1587051
-74.169749,4.57721410015037,57,Calle 75A sur con Carrera 73G,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.5772141,-74.169749
-74.1029498999999,4.65219300015282,58,"Av El Dorado (Calle 26) con Av Ciudad de Cali, sentido or→occ",Volcamiento con lesionado,Automóvil particular (2) - Conductor lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.652193,-74.1029499
-74.1262389,4.58790190015068,59,Av Gaitán Cortés con Calle 58A sur,Choque con lesionado,Taxi (1) - Motociclista lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.5879019,-74.1262389
-74.0647858999999,4.74715080015588,60,Av Boyacá con Calle 163,Autolesionado,Ciclista lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.7471508,-74.0647859
-74.1879274999999,4.61621700015164,61,Carrera 82H con Calle 62 sur,Choque simple,Vehículo de servicio oficial (1) - Carreta (1),Sin lesionados,2025/05/01 00:00:00+00,4.616217,-74.1879275
-74.0429952,4.750383000156,62,"Calle 170 con Carrera 20, sentido or→occ",Choque con lesionado,Motociclista lesionado (2),Con lesionados,2025/05/01 00:00:00+00,4.750383,-74.0429952
-74.1295014999999,4.65806150015298,63,Carrera 80 con Calle 2 sur,Choque simple,Automóvil particular (1) - Carreta (1),Sin lesionados,2025/05/01 00:00:00+00,4.6580615,-74.1295015
-74.1264323999999,4.69768910015428,64,"Carrera 105C con Calle 64B, sentido occ→or",Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.6976891,-74.1264324
-74.0617708,4.72504530015516,65,Calle 137 con Carrera 55A,"Caída de objetos en vía (árbol, cables, otros)",Árbol (1),Sin lesionados,2025/05/01 00:00:00+00,4.7250453,-74.0617708
-74.1123749,4.68634720015392,66,Av Ciudad de Cali con Calle 64G,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1) - Acompañante lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.6863472,-74.1123749
-74.109178,4.62910180015207,67,"Av Centenario (Calle 13) con Av Boyacá, sentido or→occ",Choque simple,Bus / buseta (1) - Automóvil particular (1),Sin lesionados,2025/05/01 00:00:00+00,4.6291018,-74.109178
-74.0962456,4.6857920001539,68,Av Boyacá con Calle 71 sur,Choque simple,Tractocamión (1) - Bus SITP (1),Sin lesionados,2025/05/01 00:00:00+00,4.685792,-74.0962456
-74.1706414,4.61389910015154,69,Calle 52 sur con Carrera 79,Choque simple,Automóvil particular (2),Sin lesionados,2025/05/01 00:00:00+00,4.6138991,-74.1706414
-74.0725363999999,4.60906850015139,70,Carrera 130 con Calle 22,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.6090685,-74.0725364
-74.0903876,4.63433500015219,71,"Av Boyacá con Av El Dorado (Calle 26), sentido s→n",Autolesionado,Motociclista lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.634335,-74.0903876
-74.0836505999999,4.6144873001516,72,Av Calle 19 con Carrera 22,Choque simple,Automóvil particular (2),Sin lesionados,2025/05/01 00:00:00+00,4.6144873,-74.0836506
-74.0717850999999,4.65449340015287,73,Av Carrera 24 con Calle 63D,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.6544934,-74.0717851
-74.1153646,4.57763480015038,74,Carrera 19 con Calle 33,Choque simple,Automóvil particular (2),Sin lesionados,2025/05/01 00:00:00+00,4.5776348,-74.1153646
-74.0679181,4.5815219001505,75,Transversal 2B bis con Calle 37 sur,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.5815219,-74.0679181
-74.0793295999999,4.63483190015224,76,"Calle 45 con NQS, sentido or→occ",Autolesionado,Motociclista lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.6348319,-74.0793296
-74.1288867,4.69972580015437,77,Calle 64 bis con Carrera 107C,Atropello,Motocicleta (1) - Peatón lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.6997258,-74.1288867
-74.1647854999999,4.61686990015164,78,Calle 56 sur con Carrera 78N,Atropello,Automóvil particular (1) - Peatón lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.6168699,-74.1647855
-74.0347705999999,4.68897930015399,79,"Av Carrera 7 con Calle 164, sentido s→n",Atropello,Camioneta (1) - Peatón lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.6889793,-74.0347706
-74.1241363,4.57626170015031,80,Calle 44 sur con Carrera 21,Choque simple,Camioneta (1) - Automóvil particular (1),Sin lesionados,2025/05/01 00:00:00+00,4.5762617,-74.1241363
-74.1238941,4.60413770015121,81,Av Boyacá con Av Primero de Mayo,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.6041377,-74.1238941
-74.1669515999999,4.62886300015202,82,Calle 42A sur con Carrera 82B,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.628863,-74.1669516
-74.085975,4.75554230015618,83,Calle 156B con Carrera 99,Choque simple,Bus / buseta (1) - Automóvil particular (1),Sin lesionados,2025/05/01 00:00:00+00,4.7555423,-74.085975
-74.091219,4.60473500015128,84,Diagonal 38A sur con Carrera 23,Atropello,Motocicleta (1) - Peatón lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.604735,-74.091219
-74.1359404,4.63937730015237,85,"Av Boyacá con Calle 9, sentido s→n",Choque simple,Automóvil particular (1) - Motocicleta (1),Sin lesionados,2025/05/01 00:00:00+00,4.6393773,-74.1359404
-74.1585788,4.6065389001513,86,Carrera 73 con Calle 44B sur,Choque con lesionado,Motociclista lesionado (2) - Acompañante lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.6065389,-74.1585788
-74.1245425,4.63325580015217,87,Carrera 85A con Calle 9C,Choque simple,Automóvil particular (2),Sin lesionados,2025/05/01 00:00:00+00,4.6332558,-74.1245425
-74.1159954,4.61204230015149,88,Calle 2A con Carrera 7A este,"Caída de objetos en vía (árbol, cables, otros)",Árbol (1),Sin lesionados,2025/05/01 00:00:00+00,4.6120423,-74.1159954
-74.0800199999999,4.6297900001521,89,Av El Dorado (Calle 26) con Carrera 36,Manifestación,Peatón,Sin lesionados,2025/05/01 00:00:00+00,4.62979,-74.08002
-74.0664758999999,4.62339040015188,90,Av Carrera 7 con Calle 36,Manifestación,Peatón,Sin lesionados,2025/05/01 00:00:00+00,4.6233904,-74.0664759
-74.0687384999999,4.63265680015218,91,Calle 45 con Carrera 15,Manifestación,Peatón (350),Sin lesionados,2025/05/01 00:00:00+00,4.6326568,-74.0687385
-74.0594576,4.65676100015298,92,Av Chile (Calle 72) con Carrera 11,Manifestación,Peatón (100),Sin lesionados,2025/05/01 00:00:00+00,4.656761,-74.0594576
-74.102653,4.58129080015048,93,Av Caracas con Av Primero de Mayo,Manifestación,Peatón (250),Sin lesionados,2025/05/01 00:00:00+00,4.5812908,-74.102653
-74.0702158,4.60999430015142,94,Av Carrera 7 con Calle 24,Manifestación,Peatón (300),Sin lesionados,2025/05/01 00:00:00+00,4.6099943,-74.0702158
-74.1304856,4.71941020015497,95,Calle 74A con Carrera 117,Choque simple,Bus / buseta (1) - Automóvil particular (1),Sin lesionados,2025/05/01 00:00:00+00,4.7194102,-74.1304856
-74.1262389,4.58790190015068,96,"Av Ciudad de Villavicencio con Av Gaitán Cortés, sentido or→occ",Choque con lesionado,Motociclista lesionado (2),Con lesionados,2025/05/01 00:00:00+00,4.5879019,-74.1262389
-74.0488723,4.7346438001555,97,"Autopista Norte con Calle 152, sentido n→s",Choque simple,Automóvil particular (1) - Motocicleta (1),Sin lesionados,2025/05/01 00:00:00+00,4.7346438,-74.0488723
-74.1331716,4.59478410015091,98,Av Carrera 68 con Autopista Sur,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.5947841,-74.1331716
-74.1446771,4.59538640015096,99,Av Boyacá con Autopista Sur,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.5953864,-74.1446771
-74.1070071999999,4.57231600015021,100,Carrera 3 con Calle 31F sur,Choque simple,Automóvil particular (2),Sin lesionados,2025/05/01 00:00:00+00,4.572316,-74.1070072
-74.2126097,4.61188000015149,101,Calle 86 sur con Carrera 77L,Choque simple,Automóvil particular (9),Sin lesionados,2025/05/01 00:00:00+00,4.61188,-74.2126097
-74.0619465999999,4.69146900015408,102,Calle 103B con Carrera 51,Choque simple,Automóvil particular (2),Sin lesionados,2025/05/01 00:00:00+00,4.691469,-74.0619466
-74.0974194999999,4.70031930015436,103,"Av Calle 80 con Carrera 81, sentido occ→or",Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1) - Acompañante lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.7003193,-74.0974195
-74.1375785,4.65757750015299,104,"Av Ciudad de Cali con Calle 15A, sentido s→n",Choque simple,Automóvil particular (2),Sin lesionados,2025/05/01 00:00:00+00,4.6575775,-74.1375785
-74.1373421,4.6329175001522,105,"Av Boyacá con Calle 7A, sentido s→n",Manifestación,Peatón (20),Sin lesionados,2025/05/01 00:00:00+00,4.6329175,-74.1373421
-74.1435628999999,4.66988780015336,106,Carrera 96H con Calle 17,Choque simple,Camioneta (1) - Motocarro / Mototriciclo (1),Sin lesionados,2025/05/01 00:00:00+00,4.6698878,-74.1435629
-74.1085055999999,4.70672010015457,107,Av Calle 80 con Carrera 94K,Choque simple,Bus articulado / biarticulado (1) - Motocicleta (1),Sin lesionados,2025/05/01 00:00:00+00,4.7067201,-74.1085056
-74.1006892,4.73125830015536,108,"Carrera 104 con Av Calle 68, sentido occ→or",Atropello,Automóvil particular (1) - Peatón lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.7312583,-74.1006892
-74.0421370999999,4.77530350015683,109,"Autopista Norte con Calle 197, sentido n→s",Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.7753035,-74.0421371
-74.0673159999999,4.67593630015357,110,Carrera 50 con Calle 85A,Choque simple,Automóvil particular (2),Sin lesionados,2025/05/01 00:00:00+00,4.6759363,-74.067316
-74.0553558999999,4.72582440015517,111,Carrera 52 con Calle 141,Choque simple,Automóvil particular (1) - Motocicleta (1),Sin lesionados,2025/05/01 00:00:00+00,4.7258244,-74.0553559
-74.090796,4.74202870015572,112,Av Suba con Carrera 99A,Choque simple,Automóvil particular (1) - Motocicleta (1),Sin lesionados,2025/05/01 00:00:00+00,4.7420287,-74.090796
-74.1618746,4.60232070015119,113,Av Boyacá con Av Ciudad de Villavicencio,Choque objeto fijo con lesionado,Motociclista lesionado (1) - Andén (1),Con lesionados,2025/05/01 00:00:00+00,4.6023207,-74.1618746
-74.1390405,4.68212900015376,114,Calle 23D con Carrera 103B,Choque con lesionado,Automóvil particular (1) - Motocicleta (1),Con lesionados,2025/05/01 00:00:00+00,4.682129,-74.1390405
-74.0576598,4.73834130015561,115,Carrera 55 con Calle 152B,Atropello,Automóvil particular (1) - Peatón lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.7383413,-74.0576598
-74.1549224,4.59662110015099,116,Autopista Sur con Carrera 64,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.5966211,-74.1549224
-74.0398794,4.72073480015504,117,Carrera 13 con Calle 140,Atropello,Bicicleta (1) - Peatón lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.7207348,-74.0398794
-74.1034642,4.75248580015606,118,Carrera 115 con Calle 148,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.7524858,-74.1034642
-74.1037699,4.58737220015071,119,Calle 18 sur con Carrera 24C,Choque simple,Automóvil particular (2),Sin lesionados,2025/05/01 00:00:00+00,4.5873722,-74.1037699
-74.1206577999999,4.56913120015012,120,Diagonal 45F sur con Carrera 17H,Atropello,Automóvil particular (1) - Peatón lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.5691312,-74.1206578
-74.078971,4.66186080015312,121,Calle 65 con Carrera 50B,Choque simple,Automóvil particular (2),Sin lesionados,2025/05/01 00:00:00+00,4.6618608,-74.078971
-74.1656756,4.59595420015098,122,Autopista Sur con Carrera 72D,Choque con lesionado,Bus SITP (1) - Automóvil particular (1) - Ciclista lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.5959542,-74.1656756
-74.1375785,4.65757750015299,123,Av Ciudad de Cali con Calle 15A,Varado,Automóvil particular (1),Sin lesionados,2025/05/01 00:00:00+00,4.6575775,-74.1375785
-74.1103098999999,4.62221580015183,124,Av Primero de Mayo con Carrera 50,Choque simple,Automóvil particular (1) - Motocicleta (2),Sin lesionados,2025/05/01 00:00:00+00,4.6222158,-74.1103099
-74.0636517999999,4.6730152001535,125,Carrera 5 con Calle 85,Choque simple,Automóvil particular (2),Sin lesionados,2025/05/01 00:00:00+00,4.6730152,-74.0636518
-74.0798694,4.60382570015125,126,Carrera 27 con Av Jiménez (Calle 13),Choque con lesionado,Motociclista lesionado (1) - Ciclista lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.6038257,-74.0798694
-74.04502,4.76049000015634,127,"Calle 183 con Autopista Norte, sentido occ→or",Varado,Tractocamión (1),Sin lesionados,2025/05/01 00:00:00+00,4.76049,-74.04502
-74.1770296999999,4.62063290015176,128,Av Gaitán Cortés con Calle 53B sur,Atropello,Motocicleta (1) - Peatón lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.6206329,-74.1770297
-74.1127554999999,4.57736440015034,129,Av Caracas con Calle 31D sur,Choque con lesionado,Camioneta (1) - Motociclista lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.5773644,-74.1127555
-74.1158273,4.66135580015307,130,"Av El Dorado (Calle 26) con Av Boyacá, sentido occ→or",Choque simple,Automóvil particular (2),Sin lesionados,2025/05/01 00:00:00+00,4.6613558,-74.1158273
-74.0488314999999,4.70559830015457,131,"Carrera 19 con Calle 127, sentido n→s",Choque simple,Automóvil particular (2),Sin lesionados,2025/05/01 00:00:00+00,4.7055983,-74.0488315
-74.124673,4.72609050015521,132,"Av Calle 80 con Carrera 119, sentido or→occ",Varado,Tractocamión (1),Sin lesionados,2025/05/01 00:00:00+00,4.7260905,-74.124673
-74.0533114,4.71221460015474,133,"Autopista Norte con Calle 128, sentido n→s",Choque simple,Automóvil particular (3),Sin lesionados,2025/05/01 00:00:00+00,4.7122146,-74.0533114
-74.1181372999999,4.62879130015204,134,"Av Américas con Calle 42B, sentido or→occ",Choque simple,Vehículo de valores (1) - Automóvil particular (1),Sin lesionados,2025/05/01 00:00:00+00,4.6287913,-74.1181373
-74.1136433,4.66387310015318,135,"Av Boyacá con Calle 25, sentido n→s",Choque simple,Automóvil particular (2),Sin lesionados,2025/05/01 00:00:00+00,4.6638731,-74.1136433
-74.1281109,4.56120710014984,136,"Carrera 12D con Calle 55A sur, sentido n→s",Choque con lesionado,Taxi (1) - Motocicleta (2) - Conductor lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.5612071,-74.1281109
-74.1001764,4.68035670015373,137,"Av Boyacá con Calle 6, sentido s→n",Choque simple,Camioneta (1) - Motocicleta (1),Sin lesionados,2025/05/01 00:00:00+00,4.6803567,-74.1001764
-74.1126963999999,4.6561232001529,138,"NQS con Av La Esperanza, sentido s→n",Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.6561232,-74.1126964
-74.1739746,4.64283180015252,139,"Carrera 93C con Calle 42 sur, sentido n→s",Choque con lesionado,Motocicleta (2) - Conductor lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.6428318,-74.1739746
-74.0720919999999,4.71098860015473,140,"Autopista Sur con Carrera 65, sentido or→occ",Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.7109886,-74.072092
-74.1001764,4.68035670015373,141,"Av Boyacá con Calle 74A, sentido s→n",Choque con lesionado,Tractocamión (1) - Bus / buseta (1) - Motociclista lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.6803567,-74.1001764
